timestamp,protocol,src_ip,src_port,dst_ip,dst_port,length,flags,ttl,detail
2026-04-24T16:55:37.818,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.818,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.818,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.819,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.819,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.819,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.820,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.821,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.821,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.821,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.822,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.822,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.822,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.823,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.823,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.824,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.824,TCP,192.168.57.1,55583,192.168.57.129,22,150,PA,128,
2026-04-24T16:55:37.824,TCP,192.168.57.129,22,192.168.57.1,55583,166,PA,64,
2026-04-24T16:55:37.825,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.825,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.825,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.826,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.826,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.826,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.827,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.827,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.827,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.828,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.828,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.828,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.828,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.829,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.829,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.830,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.830,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.830,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.831,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.831,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.832,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.832,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.832,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.833,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.833,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.833,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.834,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.834,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.834,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.835,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.835,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.835,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.835,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.836,TCP,192.168.57.1,55583,192.168.57.129,22,150,PA,128,
2026-04-24T16:55:37.836,TCP,192.168.57.129,22,192.168.57.1,55583,150,PA,64,
2026-04-24T16:55:37.836,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.837,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.837,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.837,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.838,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.838,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.838,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.839,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.839,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.839,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.839,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.840,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.840,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.840,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.841,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.841,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.841,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.842,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.842,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.842,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.843,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.843,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.844,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.844,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.844,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.845,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.845,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.845,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.846,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.846,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.846,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.847,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.847,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.848,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.848,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.848,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.849,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.849,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.850,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.850,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.850,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.851,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.851,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.851,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.852,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.852,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.853,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.853,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.854,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.854,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.854,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.855,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.855,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.855,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.856,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.856,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.856,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.857,TCP,192.168.57.129,22,192.168.57.1,55583,102,PA,64,
2026-04-24T16:55:37.857,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.857,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.858,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.858,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.859,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.859,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.860,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
2026-04-24T16:55:37.860,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.860,TCP,192.168.57.129,22,192.168.57.1,55583,118,PA,64,
2026-04-24T16:55:37.861,TCP,192.168.57.1,55583,192.168.57.129,22,60,A,128,
